job_id,run_type,framework,transmission,tagLength,immunity,penalty,final_timestep,survived,time_to_extinction,peak_sick_percentage,peak_sick_timestep,avg_sick_percentage,final_population,initial_population,final_gini,final_happiness,final_meanWealth,final_death_pct,initial_gini,initial_happiness,initial_meanWealth,wealth_gini_change,happiness_decline,total_disease_deaths,total_starvation_deaths,total_combat_deaths,total_aging_deaths,total_deaths,duration_seconds,status,peak_memory_mb,baseline_final_population,baseline_final_gini,baseline_final_happiness,baseline_final_meanWealth,delta_final_population,delta_final_gini,delta_final_happiness,delta_final_meanWealth
272,baseline,altruist,,,,,1000,True,,0.0,0.0,0.0,154,0,0.3,1.05,1522.66,0.0,0,0,0,0.3,-1.05,0,96,0,0,96,10.5,OK,30.82,154,0.3,1.05,1522.66,0,0.0,0.0,0.0
292,disease,altruist,0.05,13.0,10.0,0.1,1000,True,,0.0,0.0,0.0,152,0,0.297,1.05,1516.21,0.0,0,0,0,0.297,-1.05,5,98,0,0,98,10.4,OK,30.86,154,0.3,1.05,1522.66,-2,-0.0030000000000000027,0.0,-6.4500000000000455
293,disease,altruist,0.05,13.0,10.0,0.25,1000,True,,0.0,0.0,0.0,152,0,0.297,1.05,1516.21,0.0,0,0,0,0.297,-1.05,5,98,0,0,98,8.7,OK,30.82,154,0.3,1.05,1522.66,-2,-0.0030000000000000027,0.0,-6.4500000000000455
294,disease,altruist,0.05,13.0,10.0,0.5,1000,True,,0.0,0.0,0.0,152,0,0.297,1.05,1516.21,0.0,0,0,0,0.297,-1.05,5,98,0,0,98,10.7,OK,30.71,154,0.3,1.05,1522.66,-2,-0.0030000000000000027,0.0,-6.4500000000000455
291,disease,altruist,0.05,13.0,10.0,0.0,1000,True,,100.0,100.0,88.3527172827173,155,0,0.292,-0.95,1540.46,0.0,0,0,0,0.292,0.95,10,95,0,0,95,9.7,OK,31.0,154,0.3,1.05,1522.66,1,-0.008000000000000007,-2.0,17.799999999999955
295,disease,altruist,0.05,13.0,10.0,1.0,1000,True,,0.0,0.0,0.0,152,0,0.297,1.05,1516.21,0.0,0,0,0,0.297,-1.05,5,98,0,0,98,10.1,OK,30.75,154,0.3,1.05,1522.66,-2,-0.0030000000000000027,0.0,-6.4500000000000455
296,disease,altruist,0.05,13.0,10.0,2.0,1000,True,,0.0,0.0,0.0,152,0,0.297,1.05,1516.21,0.0,0,0,0,0.297,-1.05,5,98,0,0,98,10.4,OK,30.89,154,0.3,1.05,1522.66,-2,-0.0030000000000000027,0.0,-6.4500000000000455
298,disease,altruist,0.05,13.0,35.0,0.1,1000,True,,0.0,0.0,0.0,144,0,0.287,1.01,1586.34,0.0,0,0,0,0.287,-1.01,5,106,0,0,106,10.5,OK,30.28,154,0.3,1.05,1522.66,-10,-0.013000000000000012,-0.040000000000000036,63.679999999999836
299,disease,altruist,0.05,13.0,35.0,0.25,1000,True,,0.0,0.0,0.0,144,0,0.287,1.01,1586.34,0.0,0,0,0,0.287,-1.01,5,106,0,0,106,9.9,OK,30.3,154,0.3,1.05,1522.66,-10,-0.013000000000000012,-0.040000000000000036,63.679999999999836
300,disease,altruist,0.05,13.0,35.0,0.5,1000,True,,0.0,0.0,0.0,144,0,0.287,1.01,1586.34,0.0,0,0,0,0.287,-1.01,5,106,0,0,106,10.0,OK,30.28,154,0.3,1.05,1522.66,-10,-0.013000000000000012,-0.040000000000000036,63.679999999999836
297,disease,altruist,0.05,13.0,35.0,0.0,1000,True,,2.0,2.0,0.005194805194805195,147,0,0.279,1.03,1612.55,0.0,0,0,0,0.279,-1.03,0,103,0,0,103,10.0,OK,30.54,154,0.3,1.05,1522.66,-7,-0.020999999999999963,-0.020000000000000018,89.88999999999987
301,disease,altruist,0.05,13.0,35.0,1.0,1000,True,,0.0,0.0,0.0,144,0,0.287,1.01,1586.34,0.0,0,0,0,0.287,-1.01,5,106,0,0,106,9.2,OK,30.48,154,0.3,1.05,1522.66,-10,-0.013000000000000012,-0.040000000000000036,63.679999999999836
302,disease,altruist,0.05,13.0,35.0,2.0,1000,True,,0.0,0.0,0.0,144,0,0.287,1.01,1586.34,0.0,0,0,0,0.287,-1.01,5,106,0,0,106,8.7,OK,30.29,154,0.3,1.05,1522.66,-10,-0.013000000000000012,-0.040000000000000036,63.679999999999836
304,disease,altruist,0.05,13.0,60.0,0.1,1000,True,,0.0,0.0,0.0,155,0,0.292,1.06,1539.12,0.0,0,0,0,0.292,-1.06,5,95,0,0,95,10.0,OK,31.03,154,0.3,1.05,1522.66,1,-0.008000000000000007,0.010000000000000009,16.45999999999981
305,disease,altruist,0.05,13.0,60.0,0.25,1000,True,,0.0,0.0,0.0,155,0,0.292,1.06,1539.12,0.0,0,0,0,0.292,-1.06,5,95,0,0,95,9.0,OK,31.05,154,0.3,1.05,1522.66,1,-0.008000000000000007,0.010000000000000009,16.45999999999981
306,disease,altruist,0.05,13.0,60.0,0.5,1000,True,,0.0,0.0,0.0,155,0,0.292,1.06,1539.12,0.0,0,0,0,0.292,-1.06,5,95,0,0,95,10.6,OK,31.06,154,0.3,1.05,1522.66,1,-0.008000000000000007,0.010000000000000009,16.45999999999981
303,disease,altruist,0.05,13.0,60.0,0.0,1000,True,,2.0,2.0,0.006003996003996004,155,0,0.289,1.01,1549.01,0.0,0,0,0,0.289,-1.01,0,95,0,0,95,10.8,OK,31.07,154,0.3,1.05,1522.66,1,-0.01100000000000001,-0.040000000000000036,26.34999999999991
307,disease,altruist,0.05,13.0,60.0,1.0,1000,True,,0.0,0.0,0.0,155,0,0.292,1.06,1539.12,0.0,0,0,0,0.292,-1.06,5,95,0,0,95,9.4,OK,31.05,154,0.3,1.05,1522.66,1,-0.008000000000000007,0.010000000000000009,16.45999999999981
308,disease,altruist,0.05,13.0,60.0,2.0,1000,True,,0.0,0.0,0.0,155,0,0.292,1.06,1539.12,0.0,0,0,0,0.292,-1.06,5,95,0,0,95,10.2,OK,30.95,154,0.3,1.05,1522.66,1,-0.008000000000000007,0.010000000000000009,16.45999999999981
